"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 14 11:38:22 GMT 2021","Wed Apr 14 11:38:22 GMT 2021","43","API","Allowed methods tests","","","","test_methods[cluster_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:39:01 GMT 2021","Wed Apr 14 11:39:01 GMT 2021","50","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:39:04 GMT 2021","Wed Apr 14 11:39:04 GMT 2021","52","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:38:37 GMT 2021","Wed Apr 14 11:38:37 GMT 2021","45","API","Allowed methods tests","","","","test_methods[connection_LIST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:38:42 GMT 2021","Wed Apr 14 11:38:42 GMT 2021","66","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values3]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:39:12 GMT 2021","Wed Apr 14 11:39:12 GMT 2021","395","API","Body tests","POST","","","test_post_body_negative[cluster_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 11:38:46 GMT 2021","Wed Apr 14 11:38:46 GMT 2021","59","API","Body tests","POST","","","test_post_body_positive[file-system_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:38:40 GMT 2021","Wed Apr 14 11:38:40 GMT 2021","57","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:38:38 GMT 2021","Wed Apr 14 11:38:38 GMT 2021","55","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values1]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:38:49 GMT 2021","Wed Apr 14 11:38:49 GMT 2021","51","API","Allowed methods tests","","","","test_methods[backup_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:39:14 GMT 2021","Wed Apr 14 11:39:15 GMT 2021","385","API","Body tests","POST","","","test_post_body_negative[file-system_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 11:38:27 GMT 2021","Wed Apr 14 11:38:27 GMT 2021","46","API","Allowed methods tests","","","","test_methods[file-system_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:39:02 GMT 2021","Wed Apr 14 11:39:02 GMT 2021","51","API","Body tests","POST","","","test_post_body_positive[backup_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:39:20 GMT 2021","Wed Apr 14 11:39:20 GMT 2021","367","API","Body tests","POST","","","test_post_body_negative[backup_POST_negative_Invalid field types and values]","
    Negative cases of request body testing
    Includes sets of invalid field values - out of boundary values,
    nullable and required if not possible, fields with incorrect types etc.
    "
"passed","Wed Apr 14 11:38:57 GMT 2021","Wed Apr 14 11:38:57 GMT 2021","58","API","Body tests","POST","","","test_post_body_positive[connection_POST_positive_All fields with special valid values2]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:38:52 GMT 2021","Wed Apr 14 11:38:52 GMT 2021","45","API","Allowed methods tests","","","","test_methods[restore_GET_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
"passed","Wed Apr 14 11:38:36 GMT 2021","Wed Apr 14 11:38:36 GMT 2021","67","API","Body tests","POST","","","test_post_body_positive[cluster_POST_positive_All fields with special valid values0]","
    Positive cases of request body testing
    Includes sets of correct field values - boundary values, nullable and required if possible.
    "
"passed","Wed Apr 14 11:38:23 GMT 2021","Wed Apr 14 11:38:23 GMT 2021","55","API","Allowed methods tests","","","","test_methods[cluster_POST_positive]","
    Test allowed methods
    Generate request and response pairs depending on allowed and not allowed methods
    for all api endpoints
    "
